"id","ipfs","author","created","network","type","title","body","start","end","state","votes","choices","scores_state","scores","space_id"
"Qma8KF8jTV3kwBFdjfwE9jvLpPYVMdY6RVS9pJZ6QGEur6","Qma8KF8jTV3kwBFdjfwE9jvLpPYVMdY6RVS9pJZ6QGEur6","0x00000583Cf2C6aA7488471fbe12ac7f0DfeB1cDa",1600767028,"1","single-choice","Retroactive Airdrop For Proxy Contract Users (e.g. 1Inch, Dharma, Matcha, etc.)","Details:
https://gov.uniswap.org/t/retroactive-airdrop-excludes-proxy-contract-users-e-g-dharma-matcha-etc/1222

https://gov.uniswap.org/t/application-for-retroactive-proxy-contract-airdrop-for-projects-apps/3221",1600678800,1601208000,"closed",40,"Yes;No","final","0;33977.7699888695","uniswap"
"QmZUeeJEoEp4Z1oLzMcXbWJyu4WNvHF9p8uHjz97T5nD3m","QmZUeeJEoEp4Z1oLzMcXbWJyu4WNvHF9p8uHjz97T5nD3m","0xe1DC8CeA0BeC8A0638E4dD26D9092edab9F60f9B",1603891364,"1","single-choice","Uniswap Temperature check - [Should we increase the votingDelay?]","Voting Delay is the period between when a proposal is made and when voting starts (and the delegation snapshot is taken).
The current delay is 1 block.
Should we increase it?",1604048400,1604221200,"closed",6,"Yes;No","final","21964.9855115498;0","uniswap"
"QmShiKX75iBo321NKLG9tFFb3EuNM58i8kvWaYLp1HBwCR","QmShiKX75iBo321NKLG9tFFb3EuNM58i8kvWaYLp1HBwCR","0xe1DC8CeA0BeC8A0638E4dD26D9092edab9F60f9B",1605278821,"1","single-choice","Liquidity mining continuation budget","What do you think is the right amount of UNI tokens to be spent on the liquidity mining program in the following month?
",1605344400,1605517200,"closed",15,"0;1.25 million;2.5 million;3.75 million;5 million;6.25 million;7.5 million;8.75 million;10 million;11.25 million;12.5 million;13.75 million","final","1170.46516200496;0;0;0;0;0;0;0;0;0;0;0","uniswap"
"QmaKjvEAUL5RxoZeNQJKJZR8rHxiE6XNzzVrm1oLCr69MV","QmaKjvEAUL5RxoZeNQJKJZR8rHxiE6XNzzVrm1oLCr69MV","0x8d07D225a769b7Af3A923481E1FdF49180e6A265",1605551368,"1","single-choice","[Temp Check] Should Uniswap Distribute UNI to Liquidity Providers?","### Background:

Uniswap’s [genesis liquidity incentive program](https://uniswap.org/blog/uni/) ends on Nov 17. The existing program distributed 20 million UNI to LPs over 2 months, split evenly between the WBTC/ETH, USDC/ETH, USDT/ETH, and DAI/ETH pools. This works out to 2.5 million UNI per pool, per month.

#### Benefits of UNI distribution to LPs:

* Ongoing incentives allows UNI to be distributed to those providing value in the form of liquidity
* The incentivized pools are likely to remain the most liquid DEX pair on Ethereum, providing a venue to trade against ETH at virtually any size with zero slippage.
* Reduced incentives prevents UNI from being distributed ‘too fast’, marked by all tokens being distributed before the Foundation’s four year vesting has passed.

#### Drawbacks of UNI distribution to LPs:

* Ongoing incentives result in UNI largely being ‘farmed and dumped’ to earn yield. See ETH USD Yield Farm, Pickle, Harvest and Alpha.
* Reduced incentives means UNI is distributed slower.
* Incentivizing the same pools can be seen as choosing ‘winners’ by selecting WBTC as THE Bitcoin on Ethereum and favoring certain stablecoins over others.

### Proposed new distribution:

Distribute UNI for an additional 2 months from the time this proposal is adopted and executed by governance. Distribute to the same 4 pools, but at half the rate of the genesis distribution. This works out to 1.25 million UNI per month to each of the 4 covered pools (WBTC/ETH, USDC/ETH, USDT/ETH, DAI/ETH), for a total of 5M UNI per month, or 10M UNI total over the next 2 months.

Please see the liquidity incentive [governance plan document](https://gov.uniswap.org/t/discussion-uniswap-liquidity-incentive-plan/8590) for full details and timelines.

### Temperature check question:

Should Uniswap distribute UNI to liquidity providers per the specifications outlined above?

### Next steps:

The snapshot poll will be live for 3 days. If the poll passes with a minimum of 25,000 UNI in support, this proposal will move forward to the consensus check phase. Details about the Uniswap governance process can be found [here](https://gov.uniswap.org/t/community-governance-process/7732).",1605556800,1605816000,"closed",286,"Yes, I support this proposal;No, I don't support this proposal;Abstain","final","16520750.7370814;467760.293499435;452.110337998004","uniswap"
"QmcZGhUoTEGGQWMrEXBcCwCenjSQRTJdhta4JYyVEWnN24","QmcZGhUoTEGGQWMrEXBcCwCenjSQRTJdhta4JYyVEWnN24","0x8d07D225a769b7Af3A923481E1FdF49180e6A265",1606159989,"1","single-choice","[Consensus Check] Should Uniswap Distribute UNI to Liquidity Providers?","Authors: @monet-supply @coopahtroopa 

### Background: 
Uniswap’s [genesis liquidity incentive program](https://uniswap.org/blog/uni/) ended on Nov 17. The program distributed 20 million UNI to LPs over 2 months, split evenly between the WBTC/ETH, USDC/ETH, USDT/ETH, and DAI/ETH pools. This worked out to 2.5 million UNI per pool, per month.

#### Benefits of UNI distribution to LPs:
Ongoing incentives allows UNI to be distributed to those providing value in the form of liquidity
The incentivized pools are likely to remain the most liquid DEX pair on Ethereum, providing a venue to trade against ETH at virtually any size with zero slippage.
Reduced incentives prevents UNI from being distributed ‘too fast’, marked by all tokens being distributed before the Foundation’s four year vesting has passed.

#### Drawbacks of UNI distribution to LPs:
Ongoing incentives result in UNI largely being ‘farmed and dumped’ to earn yield. See ETH USD Yield Farm, Pickle, Harvest and Alpha.
Reduced incentives means UNI is distributed slower.
Incentivizing the same pools can be seen as choosing ‘winners’ by selecting WBTC as THE Bitcoin on Ethereum and favoring certain stablecoins over others.

### Proposed new distribution: 
Distribute UNI for an additional 2 months from the time this proposal is adopted and executed by governance, but at half the rate of the previous distribution (5 million UNI per month instead of 10 million UNI per month). 

**Note that pool distributions were adjusted slightly from the previous [temperature check](https://gov.uniswap.org/t/temperature-check-should-uniswap-distribute-uni-to-liquidity-providers/8591) process**. Reasoning behind this adjustment can be found [here](https://gov.uniswap.org/t/discussion-uniswap-liquidity-incentive-plan/8590/68). 

UNI will be distributed to the following 4 pools:
WBTC/ETH - 1.67 million UNI per month, ⅓ of total
USDC/ETH - 1.25 million UNI per month, ¼ of total
USDT/ETH - 1.25 million UNI per month, ¼ of total
DAI/ETH - 0.83 million UNI per month, ⅙ of total

Please see the liquidity incentive [governance plan document](https://gov.uniswap.org/t/discussion-uniswap-liquidity-incentive-plan/8590) for full details and timelines. 

### Consensus check question:

Should Uniswap distribute UNI to liquidity providers per the specifications outlined above?

### Next steps:
The previous [temperature check](https://gov.uniswap.org/t/temperature-check-should-uniswap-distribute-uni-to-liquidity-providers/8591) process passed with sufficient support of UNI voters. The following consensus check poll is the second phase of Uniswap’s [governance process](https://gov.uniswap.org/t/community-governance-process/7732).

The snapshot poll will be live for 5 days. If the poll passes with a minimum of 50,000 UNI in support, this initiative will move forward as a formal governance proposal. 

Consensus check forum post can be found [here](https://gov.uniswap.org/t/consensus-check-should-uniswap-distribute-uni-to-liquidity-providers/8878).",1606161600,1606593600,"closed",89,"Yes, I support this proposal;No, I don't support this proposal;Abstain","final","1448775.47069836;134079.540172913;0","uniswap"
"QmU5sggJNTQmSQtxecdsAJxXn9fgSwYz1dXpSpDcgwAqqy","QmU5sggJNTQmSQtxecdsAJxXn9fgSwYz1dXpSpDcgwAqqy","0x3b499Ac151097Dc9d32E056074E1e541a1ba9e2D",1607030531,"1","single-choice","[Temp Check] Fund UNI Grants Program?","A proposal for funding Uniswap ecosystem development with up grants from the UNI treasury.

The mission of the Uniswap Grants Program (UGP) is to provide valuable resources to help grow the Uniswap ecosystem. 

A grants program is a by definition a subjective process that cannot be easily automated. 

So the proposal calls for a small committee of 6 members—1 lead and 5 reviewers—to deliver an efficient, predictable process to applicants.

The budget proposed is:

- $750K (of UNI) per quarter
- Over 2 quarters

The assumption is that $1.5M worth of UNI seems appropriate for an MVP, especially relative to the size of the treasury that UNI token holders are entrusted with allocating. 

More details and an explanation of the methodology that got us here are live on Discourse, and we are polling consensus before putting this to a governance vote — as soon as next week!

Should UNI gov create a committee for grant funding?

Please show your opinions!",1607101200,1607749140,"closed",0,"Yes, fund an MVP grant committee;No, don't fund an MVP grants committee","final","0;0","uniswap"
"QmWe6Krc81pkCtQFbd2AxytFCp1imLGUnFTEEom9YNwFte","QmWe6Krc81pkCtQFbd2AxytFCp1imLGUnFTEEom9YNwFte","0xA2BF1B0a7E079767B4701b5a1D9D5700eB42D1d1",1616773183,"1","single-choice","Can UGP increase their Q2 budget to $1.5M?","The UNI Grants Program would like to double the Q2 budget to $1.5M in order to match the Uniswap Labs bug bounty program with $500,000 worth of UNI from the Committee multisig. Due to the price change of UNI, the funds are already available and will not require a formal transfer of funds from community treasury.  

However, as these funds were not a part of our original proposal, we are seeking approval via a 7 day time-bound Snapshot vote, after which UGP will act according to the majority vote. ",1616770800,1617422340,"closed",570,"Approve;Deny","final","7036339.68080026;70.2249871771105","uniswap"
"Qmehop1NNWP9VEf7tGLEAYRphVsXtdxkL7oKEhaXL2Xao6","Qmehop1NNWP9VEf7tGLEAYRphVsXtdxkL7oKEhaXL2Xao6","0x88FB3D509fC49B515BFEb04e23f53ba339563981",1622045218,"1","single-choice","Deploy Uniswap v3 on Arbitrum","### Background
Per andy8052 on the [Uniswap forums](https://gov.uniswap.org/t/deploy-uniswap-v3-to-arbitrum-mainnet/12451):
...there is immense value in being available for swaps on every EVM compatible network. Since there is no liquidity mining, it is hard to make the case that multiple deployments will segment liquidity, and long term if this is an issue governance can flip the switch on liquidity incentives for the chains it desires deepest liquidity. In the meantime, not deploying to new and growing networks like Arbitrum and Matic just allows for other exchanges to come in and fill that spot. This could potentially eat into fees earned by governance in the future.

Alongside this, it will help to grow the potential list of projects that can be built on Uniswap v3. Growing the public smart contract libraries interfacing with and using the v3 codebase will only expedite Uniswap adoption on all chains as the code and integrations become more battle tested.

Arbitrum launches later this week on May 28th. I think it would be best to start a discussion ASAP around deploying the Uniswap v3 code to Arbitrum network.

### Next Steps
Indicate your interest for Uniswap moving forward with a deployment of Uniswap v3 on Arbitrum, by (1) opening the Uniswap v3 license to include code deployed on Arbitrum, (2) allowing community developers to implement Uniswap v3 on Arbitrum.
",1622044800,1622217600,"closed",871,"FOR Uniswap v3 on Arbitrum;AGAINST Uniswap v3 on Arbitrum","final","38647456.608673;306.106086287388","uniswap"
"QmVXXEXJJKjFJtwXyy4Xx3gBckhz6TvorZoLgX3yiB7Hki","QmVXXEXJJKjFJtwXyy4Xx3gBckhz6TvorZoLgX3yiB7Hki","0x61c8D4e4BE6477Bb49791540Ff297Ef30Eaa01c2",1622143510,"1","single-choice","Funding a Political Defense of DeFi","Should UNI governance allocate 1-1.5M UNI to fund a policy operation to defend the protocol and DeFi from legal and regulatory threats?",1622138400,1622329200,"closed",462,"Yes;No","final","32283998.5244826;17783893.4601888","uniswap"
"QmNPvJSYqtpN8JeReGACfPJNx7yXZrsrcAKDsjHvbx3Pu3","QmNPvJSYqtpN8JeReGACfPJNx7yXZrsrcAKDsjHvbx3Pu3","0xB0623C91c65621df716aB8aFE5f66656B21A9108",1622166656,"1","single-choice","Should Uniswap lower the proposal submission threshold?","Uniswap governance currently has a proposal submission threshold of 10M votes. Should this threshold be lowered?",1622217600,1622476800,"closed",360,"Yes, it should be lowered;No, it should remain the same","final","41167674.1943102;1879.55883654687","uniswap"
